name,priority,direction,access,protocol,source_port_range,destination_port_range,source_address_prefix,destination_address_prefix
in-test160,160,Inbound,Allow,Tcp,160,160,*,*
in-test161,161,Inbound,Allow,Tcp,161,161,*,*
in-test162,162,Inbound,Allow,Tcp,162,162,*,*
in-test163,163,Inbound,Allow,Tcp,163,163,*,*
in-test164,164,Inbound,Allow,Tcp,164,164,*,*
in-test165,165,Inbound,Allow,Tcp,165,165,*,*
in-test166,166,Inbound,Allow,Tcp,166,166,*,*
in-test167,167,Inbound,Allow,Tcp,167,167,*,*
in-test168,168,Inbound,Allow,Tcp,168,168,*,*
in-test169,169,Inbound,Allow,Tcp,169,169,*,*
in-test170,170,Inbound,Allow,Tcp,170,170,*,*
in-test171,171,Inbound,Allow,Tcp,171,171,*,*
in-test172,172,Inbound,Allow,Tcp,172,172,*,*
in-test173,173,Inbound,Allow,Tcp,173,173,*,*
in-test174,174,Inbound,Allow,Tcp,174,174,*,*
in-test175,175,Inbound,Allow,Tcp,175,175,*,*
in-test176,176,Inbound,Allow,Tcp,176,176,*,*
in-test177,177,Inbound,Allow,Tcp,177,177,*,*
in-test178,178,Inbound,Allow,Tcp,178,178,*,*
in-test179,179,Inbound,Allow,Tcp,179,179,*,*
in-test180,180,Inbound,Allow,Tcp,180,180,*,*
in-test181,181,Inbound,Allow,Tcp,181,181,*,*
in-test182,182,Inbound,Allow,Tcp,182,182,*,*
in-test183,183,Inbound,Allow,Tcp,183,183,*,*
in-test184,184,Inbound,Allow,Tcp,184,184,*,*
in-test185,185,Inbound,Allow,Tcp,185,185,*,*
in-test186,186,Inbound,Allow,Tcp,186,186,*,*
in-test187,187,Inbound,Allow,Tcp,187,187,*,*
in-test188,188,Inbound,Allow,Tcp,188,188,*,*
in-test189,189,Inbound,Allow,Tcp,189,189,*,*
in-test190,190,Inbound,Allow,Tcp,190,190,*,*
in-test191,191,Inbound,Allow,Tcp,191,191,*,*
in-test192,192,Inbound,Allow,Tcp,192,192,*,*
in-test193,193,Inbound,Allow,Tcp,193,193,*,*
in-test194,194,Inbound,Allow,Tcp,194,194,*,*
in-test195,195,Inbound,Allow,Tcp,195,195,*,*
in-test196,196,Inbound,Allow,Tcp,196,196,*,*
in-test197,197,Inbound,Allow,Tcp,197,197,*,*
in-test198,198,Inbound,Allow,Tcp,198,198,*,*
in-test199,199,Inbound,Allow,Tcp,199,199,*,*
in-test200,200,Inbound,Allow,Tcp,200,200,*,*
in-test201,201,Inbound,Allow,Tcp,201,201,*,*
out-test101,101,Outbound,Allow,Tcp,101,101,*,*
out-test102,102,Outbound,Allow,Tcp,102,102,*,*
out-test103,103,Outbound,Allow,Tcp,103,103,*,*
out-test104,104,Outbound,Allow,Tcp,104,104,*,*
out-test105,105,Outbound,Allow,Tcp,105,105,*,*
out-test106,106,Outbound,Allow,Tcp,106,106,*,*
out-test107,107,Outbound,Allow,Tcp,107,107,*,*
out-test108,108,Outbound,Allow,Tcp,108,108,*,*
out-test109,109,Outbound,Allow,Tcp,109,109,*,*
out-test110,110,Outbound,Allow,Tcp,110,110,*,*
out-test111,111,Outbound,Allow,Tcp,111,111,*,*
out-test112,112,Outbound,Allow,Tcp,112,112,*,*
out-test113,113,Outbound,Allow,Tcp,113,113,*,*
out-test114,114,Outbound,Allow,Tcp,114,114,*,*
out-test115,115,Outbound,Allow,Tcp,115,115,*,*
out-test116,116,Outbound,Allow,Tcp,116,116,*,*
out-test117,117,Outbound,Allow,Tcp,117,117,*,*
out-test118,118,Outbound,Allow,Tcp,118,118,*,*
out-test119,119,Outbound,Allow,Tcp,119,119,*,*
out-test120,120,Outbound,Allow,Tcp,120,120,*,*
out-test121,121,Outbound,Allow,Tcp,121,121,*,*
out-test122,122,Outbound,Allow,Tcp,122,122,*,*
out-test123,123,Outbound,Allow,Tcp,123,123,*,*
out-test124,124,Outbound,Allow,Tcp,124,124,*,*
out-test125,125,Outbound,Allow,Tcp,125,125,*,*
out-test126,126,Outbound,Allow,Tcp,126,126,*,*
out-test127,127,Outbound,Allow,Tcp,127,127,*,*
out-test128,128,Outbound,Allow,Tcp,128,128,*,*
out-test129,129,Outbound,Allow,Tcp,129,129,*,*
out-test130,130,Outbound,Allow,Tcp,130,130,*,*
out-test131,131,Outbound,Allow,Tcp,131,131,*,*
out-test132,132,Outbound,Allow,Tcp,132,132,*,*
out-test133,133,Outbound,Allow,Tcp,133,133,*,*
out-test134,134,Outbound,Allow,Tcp,134,134,*,*
out-test135,135,Outbound,Allow,Tcp,135,135,*,*
out-test136,136,Outbound,Allow,Tcp,136,136,*,*
out-test137,137,Outbound,Allow,Tcp,137,137,*,*
out-test138,138,Outbound,Allow,Tcp,138,138,*,*
out-test139,139,Outbound,Allow,Tcp,139,139,*,*
out-test140,140,Outbound,Allow,Tcp,140,140,*,*
out-test141,141,Outbound,Allow,Tcp,141,141,*,*
out-test142,142,Outbound,Allow,Tcp,142,142,*,*
out-test143,143,Outbound,Allow,Tcp,143,143,*,*
out-test144,144,Outbound,Allow,Tcp,144,144,*,*
out-test145,145,Outbound,Allow,Tcp,145,145,*,*
out-test146,146,Outbound,Allow,Tcp,146,146,*,*
out-test147,147,Outbound,Allow,Tcp,147,147,*,*
out-test148,148,Outbound,Allow,Tcp,148,148,*,*
out-test149,149,Outbound,Allow,Tcp,149,149,*,*
out-test150,150,Outbound,Allow,Tcp,150,150,*,*
out-test151,151,Outbound,Allow,Tcp,151,151,*,*
out-test152,152,Outbound,Allow,Tcp,152,152,*,*
out-test153,153,Outbound,Allow,Tcp,153,153,*,*
out-test154,154,Outbound,Allow,Tcp,154,154,*,*
out-test155,155,Outbound,Allow,Tcp,155,155,*,*
out-test156,156,Outbound,Allow,Tcp,156,156,*,*
out-test157,157,Outbound,Allow,Tcp,157,157,*,*
out-test158,158,Outbound,Allow,Tcp,158,158,*,*
out-test159,159,Outbound,Allow,Tcp,159,159,*,*
out-test160,160,Outbound,Allow,Tcp,160,160,*,*
out-test161,161,Outbound,Allow,Tcp,161,161,*,*
out-test162,162,Outbound,Allow,Tcp,162,162,*,*
out-test163,163,Outbound,Allow,Tcp,163,163,*,*
out-test164,164,Outbound,Allow,Tcp,164,164,*,*
out-test165,165,Outbound,Allow,Tcp,165,165,*,*
out-test166,166,Outbound,Allow,Tcp,166,166,*,*
out-test167,167,Outbound,Allow,Tcp,167,167,*,*
out-test168,168,Outbound,Allow,Tcp,168,168,*,*
out-test169,169,Outbound,Allow,Tcp,169,169,*,*
out-test170,170,Outbound,Allow,Tcp,170,170,*,*
out-test171,171,Outbound,Allow,Tcp,171,171,*,*
out-test172,172,Outbound,Allow,Tcp,172,172,*,*
out-test173,173,Outbound,Allow,Tcp,173,173,*,*
out-test174,174,Outbound,Allow,Tcp,174,174,*,*
out-test175,175,Outbound,Allow,Tcp,175,175,*,*
out-test176,176,Outbound,Allow,Tcp,176,176,*,*
out-test177,177,Outbound,Allow,Tcp,177,177,*,*
out-test178,178,Outbound,Allow,Tcp,178,178,*,*
out-test179,179,Outbound,Allow,Tcp,179,179,*,*
out-test180,180,Outbound,Allow,Tcp,180,180,*,*
out-test181,181,Outbound,Allow,Tcp,181,181,*,*
out-test182,182,Outbound,Allow,Tcp,182,182,*,*
out-test183,183,Outbound,Allow,Tcp,183,183,*,*
out-test184,184,Outbound,Allow,Tcp,184,184,*,*
out-test185,185,Outbound,Allow,Tcp,185,185,*,*
out-test186,186,Outbound,Allow,Tcp,186,186,*,*
out-test187,187,Outbound,Allow,Tcp,187,187,*,*
out-test188,188,Outbound,Allow,Tcp,188,188,*,*
out-test189,189,Outbound,Allow,Tcp,189,189,*,*
out-test190,190,Outbound,Allow,Tcp,190,190,*,*
out-test191,191,Outbound,Allow,Tcp,191,191,*,*
out-test192,192,Outbound,Allow,Tcp,192,192,*,*
out-test193,193,Outbound,Allow,Tcp,193,193,*,*
out-test194,194,Outbound,Allow,Tcp,194,194,*,*
out-test195,195,Outbound,Allow,Tcp,195,195,*,*
out-test196,196,Outbound,Allow,Tcp,196,196,*,*
out-test197,197,Outbound,Allow,Tcp,197,197,*,*
out-test198,198,Outbound,Allow,Tcp,198,198,*,*
out-test199,199,Outbound,Allow,Tcp,199,199,*,*
out-test200,200,Outbound,Allow,Tcp,200,200,*,*
out-test201,201,Outbound,Allow,Tcp,201,201,*,*
