name,priority,direction,access,protocol,source_port_range,destination_port_range,source_address_prefix,destination_address_prefix
in-test160,160,Inbound,Allow,Tcp,160,160,*,*
in-test161,161,Inbound,Allow,Tcp,161,161,*,*
in-test162,162,Inbound,Allow,Tcp,162,162,*,*
in-test163,163,Inbound,Allow,Tcp,163,163,*,*
in-test164,164,Inbound,Allow,Tcp,164,164,*,*
in-test165,165,Inbound,Allow,Tcp,165,165,*,*
in-test166,166,Inbound,Allow,Tcp,166,166,*,*
in-test167,167,Inbound,Allow,Tcp,167,167,*,*
in-test168,168,Inbound,Allow,Tcp,168,168,*,*
in-test169,169,Inbound,Allow,Tcp,169,169,*,*
in-test170,170,Inbound,Allow,Tcp,170,170,*,*
in-test171,171,Inbound,Allow,Tcp,171,171,*,*
in-test172,172,Inbound,Allow,Tcp,172,172,*,*
in-test173,173,Inbound,Allow,Tcp,173,173,*,*
in-test174,174,Inbound,Allow,Tcp,174,174,*,*
in-test175,175,Inbound,Allow,Tcp,175,175,*,*
in-test176,176,Inbound,Allow,Tcp,176,176,*,*
in-test177,177,Inbound,Allow,Tcp,177,177,*,*
in-test178,178,Inbound,Allow,Tcp,178,178,*,*
in-test179,179,Inbound,Allow,Tcp,179,179,*,*
in-test180,180,Inbound,Allow,Tcp,180,180,*,*
in-test181,181,Inbound,Allow,Tcp,181,181,*,*
in-test182,182,Inbound,Allow,Tcp,182,182,*,*
in-test183,183,Inbound,Allow,Tcp,183,183,*,*
in-test184,184,Inbound,Allow,Tcp,184,184,*,*
in-test185,185,Inbound,Allow,Tcp,185,185,*,*
in-test186,186,Inbound,Allow,Tcp,186,186,*,*
in-test187,187,Inbound,Allow,Tcp,187,187,*,*
in-test188,188,Inbound,Allow,Tcp,188,188,*,*
in-test189,189,Inbound,Allow,Tcp,189,189,*,*
in-test190,190,Inbound,Allow,Tcp,190,190,*,*
in-test191,191,Inbound,Allow,Tcp,191,191,*,*
in-test192,192,Inbound,Allow,Tcp,192,192,*,*
in-test193,193,Inbound,Allow,Tcp,193,193,*,*
in-test194,194,Inbound,Allow,Tcp,194,194,*,*
in-test195,195,Inbound,Allow,Tcp,195,195,*,*
in-test196,196,Inbound,Allow,Tcp,196,196,*,*
in-test197,197,Inbound,Allow,Tcp,197,197,*,*
in-test198,198,Inbound,Allow,Tcp,198,198,*,*
in-test199,199,Inbound,Allow,Tcp,199,199,*,*
in-test200,200,Inbound,Allow,Tcp,200,200,*,*
in-test201,201,Inbound,Allow,Tcp,201,201,*,*
in-test202,202,Inbound,Allow,Tcp,202,202,*,*
in-test203,203,Inbound,Allow,Tcp,203,203,*,*
in-test204,204,Inbound,Allow,Tcp,204,204,*,*
in-test205,205,Inbound,Allow,Tcp,205,205,*,*
in-test206,206,Inbound,Allow,Tcp,206,206,*,*
in-test207,207,Inbound,Allow,Tcp,207,207,*,*
in-test208,208,Inbound,Allow,Tcp,208,208,*,*
in-test209,209,Inbound,Allow,Tcp,209,209,*,*
in-test210,210,Inbound,Allow,Tcp,210,210,*,*
in-test211,211,Inbound,Allow,Tcp,211,211,*,*
in-test212,212,Inbound,Allow,Tcp,212,212,*,*
in-test213,213,Inbound,Allow,Tcp,213,213,*,*
in-test214,214,Inbound,Allow,Tcp,214,214,*,*
in-test215,215,Inbound,Allow,Tcp,215,215,*,*
in-test216,216,Inbound,Allow,Tcp,216,216,*,*
in-test217,217,Inbound,Allow,Tcp,217,217,*,*
in-test218,218,Inbound,Allow,Tcp,218,218,*,*
in-test219,219,Inbound,Allow,Tcp,219,219,*,*
in-test220,220,Inbound,Allow,Tcp,220,220,*,*
in-test221,221,Inbound,Allow,Tcp,221,221,*,*
in-test222,222,Inbound,Allow,Tcp,222,222,*,*
in-test223,223,Inbound,Allow,Tcp,223,223,*,*
in-test224,224,Inbound,Allow,Tcp,224,224,*,*
in-test225,225,Inbound,Allow,Tcp,225,225,*,*
in-test226,226,Inbound,Allow,Tcp,226,226,*,*
in-test227,227,Inbound,Allow,Tcp,227,227,*,*
in-test228,228,Inbound,Allow,Tcp,228,228,*,*
in-test229,229,Inbound,Allow,Tcp,229,229,*,*
in-test230,230,Inbound,Allow,Tcp,230,230,*,*
in-test231,231,Inbound,Allow,Tcp,231,231,*,*
in-test232,232,Inbound,Allow,Tcp,232,232,*,*
in-test233,233,Inbound,Allow,Tcp,233,233,*,*
in-test234,234,Inbound,Allow,Tcp,234,234,*,*
in-test235,235,Inbound,Allow,Tcp,235,235,*,*
in-test236,236,Inbound,Allow,Tcp,236,236,*,*
in-test237,237,Inbound,Allow,Tcp,237,237,*,*
in-test238,238,Inbound,Allow,Tcp,238,238,*,*
in-test239,239,Inbound,Allow,Tcp,239,239,*,*
in-test240,240,Inbound,Allow,Tcp,240,240,*,*
in-test241,241,Inbound,Allow,Tcp,241,241,*,*
in-test242,242,Inbound,Allow,Tcp,242,242,*,*
in-test243,243,Inbound,Allow,Tcp,243,243,*,*
in-test244,244,Inbound,Allow,Tcp,244,244,*,*
in-test245,245,Inbound,Allow,Tcp,245,245,*,*
in-test246,246,Inbound,Allow,Tcp,246,246,*,*
in-test247,247,Inbound,Allow,Tcp,247,247,*,*
in-test248,248,Inbound,Allow,Tcp,248,248,*,*
in-test249,249,Inbound,Allow,Tcp,249,249,*,*
in-test250,250,Inbound,Allow,Tcp,250,250,*,*
in-test251,251,Inbound,Allow,Tcp,251,251,*,*
in-test252,252,Inbound,Allow,Tcp,252,252,*,*
in-test253,253,Inbound,Allow,Tcp,253,253,*,*
in-test254,254,Inbound,Allow,Tcp,254,254,*,*
in-test255,255,Inbound,Allow,Tcp,255,255,*,*
in-test256,256,Inbound,Allow,Tcp,256,256,*,*
in-test257,257,Inbound,Allow,Tcp,257,257,*,*
in-test258,258,Inbound,Allow,Tcp,258,258,*,*
in-test259,259,Inbound,Allow,Tcp,259,259,*,*
in-test260,260,Inbound,Allow,Tcp,260,260,*,*
in-test261,261,Inbound,Allow,Tcp,261,261,*,*
in-test262,262,Inbound,Allow,Tcp,262,262,*,*
in-test263,263,Inbound,Allow,Tcp,263,263,*,*
in-test264,264,Inbound,Allow,Tcp,264,264,*,*
in-test265,265,Inbound,Allow,Tcp,265,265,*,*
in-test266,266,Inbound,Allow,Tcp,266,266,*,*
in-test267,267,Inbound,Allow,Tcp,267,267,*,*
in-test268,268,Inbound,Allow,Tcp,268,268,*,*
in-test269,269,Inbound,Allow,Tcp,269,269,*,*
in-test270,270,Inbound,Allow,Tcp,270,270,*,*
in-test271,271,Inbound,Allow,Tcp,271,271,*,*
in-test272,272,Inbound,Allow,Tcp,272,272,*,*
in-test273,273,Inbound,Allow,Tcp,273,273,*,*
in-test274,274,Inbound,Allow,Tcp,274,274,*,*
in-test275,275,Inbound,Allow,Tcp,275,275,*,*
in-test276,276,Inbound,Allow,Tcp,276,276,*,*
in-test277,277,Inbound,Allow,Tcp,277,277,*,*
in-test278,278,Inbound,Allow,Tcp,278,278,*,*
in-test279,279,Inbound,Allow,Tcp,279,279,*,*
in-test280,280,Inbound,Allow,Tcp,280,280,*,*
in-test281,281,Inbound,Allow,Tcp,281,281,*,*
in-test282,282,Inbound,Allow,Tcp,282,282,*,*
in-test283,283,Inbound,Allow,Tcp,283,283,*,*
in-test284,284,Inbound,Allow,Tcp,284,284,*,*
in-test285,285,Inbound,Allow,Tcp,285,285,*,*
in-test286,286,Inbound,Allow,Tcp,286,286,*,*
in-test287,287,Inbound,Allow,Tcp,287,287,*,*
in-test288,288,Inbound,Allow,Tcp,288,288,*,*
in-test289,289,Inbound,Allow,Tcp,289,289,*,*
in-test290,290,Inbound,Allow,Tcp,290,290,*,*
in-test291,291,Inbound,Allow,Tcp,291,291,*,*
in-test292,292,Inbound,Allow,Tcp,292,292,*,*
in-test293,293,Inbound,Allow,Tcp,293,293,*,*
in-test294,294,Inbound,Allow,Tcp,294,294,*,*
in-test295,295,Inbound,Allow,Tcp,295,295,*,*
in-test296,296,Inbound,Allow,Tcp,296,296,*,*
in-test297,297,Inbound,Allow,Tcp,297,297,*,*
in-test298,298,Inbound,Allow,Tcp,298,298,*,*
in-test299,299,Inbound,Allow,Tcp,299,299,*,*
in-test300,300,Inbound,Allow,Tcp,300,300,*,*
in-test301,301,Inbound,Allow,Tcp,301,301,*,*
in-test302,302,Inbound,Allow,Tcp,302,302,*,*
in-test303,303,Inbound,Allow,Tcp,303,303,*,*
in-test304,304,Inbound,Allow,Tcp,304,304,*,*
in-test305,305,Inbound,Allow,Tcp,305,305,*,*
in-test306,306,Inbound,Allow,Tcp,306,306,*,*
in-test307,307,Inbound,Allow,Tcp,307,307,*,*
in-test308,308,Inbound,Allow,Tcp,308,308,*,*
in-test309,309,Inbound,Allow,Tcp,309,309,*,*
in-test310,310,Inbound,Allow,Tcp,310,310,*,*
in-test311,311,Inbound,Allow,Tcp,311,311,*,*
in-test312,312,Inbound,Allow,Tcp,312,312,*,*
in-test313,313,Inbound,Allow,Tcp,313,313,*,*
in-test314,314,Inbound,Allow,Tcp,314,314,*,*
in-test315,315,Inbound,Allow,Tcp,315,315,*,*
in-test316,316,Inbound,Allow,Tcp,316,316,*,*
in-test317,317,Inbound,Allow,Tcp,317,317,*,*
in-test318,318,Inbound,Allow,Tcp,318,318,*,*
in-test319,319,Inbound,Allow,Tcp,319,319,*,*
in-test320,320,Inbound,Allow,Tcp,320,320,*,*
in-test321,321,Inbound,Allow,Tcp,321,321,*,*
in-test322,322,Inbound,Allow,Tcp,322,322,*,*
in-test323,323,Inbound,Allow,Tcp,323,323,*,*
in-test324,324,Inbound,Allow,Tcp,324,324,*,*
in-test325,325,Inbound,Allow,Tcp,325,325,*,*
in-test326,326,Inbound,Allow,Tcp,326,326,*,*
in-test327,327,Inbound,Allow,Tcp,327,327,*,*
in-test328,328,Inbound,Allow,Tcp,328,328,*,*
in-test329,329,Inbound,Allow,Tcp,329,329,*,*
in-test330,330,Inbound,Allow,Tcp,330,330,*,*
in-test331,331,Inbound,Allow,Tcp,331,331,*,*
in-test332,332,Inbound,Allow,Tcp,332,332,*,*
in-test333,333,Inbound,Allow,Tcp,333,333,*,*
in-test334,334,Inbound,Allow,Tcp,334,334,*,*
in-test335,335,Inbound,Allow,Tcp,335,335,*,*
in-test336,336,Inbound,Allow,Tcp,336,336,*,*
in-test337,337,Inbound,Allow,Tcp,337,337,*,*
in-test338,338,Inbound,Allow,Tcp,338,338,*,*
in-test339,339,Inbound,Allow,Tcp,339,339,*,*
in-test340,340,Inbound,Allow,Tcp,340,340,*,*
in-test341,341,Inbound,Allow,Tcp,341,341,*,*
in-test342,342,Inbound,Allow,Tcp,342,342,*,*
in-test343,343,Inbound,Allow,Tcp,343,343,*,*
in-test344,344,Inbound,Allow,Tcp,344,344,*,*
in-test345,345,Inbound,Allow,Tcp,345,345,*,*
in-test346,346,Inbound,Allow,Tcp,346,346,*,*
in-test347,347,Inbound,Allow,Tcp,347,347,*,*
in-test348,348,Inbound,Allow,Tcp,348,348,*,*
in-test349,349,Inbound,Allow,Tcp,349,349,*,*
in-test350,350,Inbound,Allow,Tcp,350,350,*,*
in-test351,351,Inbound,Allow,Tcp,351,351,*,*
in-test352,352,Inbound,Allow,Tcp,352,352,*,*
in-test353,353,Inbound,Allow,Tcp,353,353,*,*
in-test354,354,Inbound,Allow,Tcp,354,354,*,*
in-test355,355,Inbound,Allow,Tcp,355,355,*,*
in-test356,356,Inbound,Allow,Tcp,356,356,*,*
in-test357,357,Inbound,Allow,Tcp,357,357,*,*
in-test358,358,Inbound,Allow,Tcp,358,358,*,*
in-test359,359,Inbound,Allow,Tcp,359,359,*,*
in-test360,360,Inbound,Allow,Tcp,360,360,*,*
in-test361,361,Inbound,Allow,Tcp,361,361,*,*
in-test362,362,Inbound,Allow,Tcp,362,362,*,*
in-test363,363,Inbound,Allow,Tcp,363,363,*,*
in-test364,364,Inbound,Allow,Tcp,364,364,*,*
in-test365,365,Inbound,Allow,Tcp,365,365,*,*
in-test366,366,Inbound,Allow,Tcp,366,366,*,*
in-test367,367,Inbound,Allow,Tcp,367,367,*,*
in-test368,368,Inbound,Allow,Tcp,368,368,*,*
in-test369,369,Inbound,Allow,Tcp,369,369,*,*
in-test370,370,Inbound,Allow,Tcp,370,370,*,*
in-test371,371,Inbound,Allow,Tcp,371,371,*,*
in-test372,372,Inbound,Allow,Tcp,372,372,*,*
in-test373,373,Inbound,Allow,Tcp,373,373,*,*
in-test374,374,Inbound,Allow,Tcp,374,374,*,*
in-test375,375,Inbound,Allow,Tcp,375,375,*,*
in-test376,376,Inbound,Allow,Tcp,376,376,*,*
in-test377,377,Inbound,Allow,Tcp,377,377,*,*
in-test378,378,Inbound,Allow,Tcp,378,378,*,*
in-test379,379,Inbound,Allow,Tcp,379,379,*,*
in-test380,380,Inbound,Allow,Tcp,380,380,*,*
in-test381,381,Inbound,Allow,Tcp,381,381,*,*
in-test382,382,Inbound,Allow,Tcp,382,382,*,*
in-test383,383,Inbound,Allow,Tcp,383,383,*,*
in-test384,384,Inbound,Allow,Tcp,384,384,*,*
in-test385,385,Inbound,Allow,Tcp,385,385,*,*
in-test386,386,Inbound,Allow,Tcp,386,386,*,*
in-test387,387,Inbound,Allow,Tcp,387,387,*,*
in-test388,388,Inbound,Allow,Tcp,388,388,*,*
in-test389,389,Inbound,Allow,Tcp,389,389,*,*
in-test390,390,Inbound,Allow,Tcp,390,390,*,*
in-test391,391,Inbound,Allow,Tcp,391,391,*,*
in-test392,392,Inbound,Allow,Tcp,392,392,*,*
in-test393,393,Inbound,Allow,Tcp,393,393,*,*
in-test394,394,Inbound,Allow,Tcp,394,394,*,*
in-test395,395,Inbound,Allow,Tcp,395,395,*,*
in-test396,396,Inbound,Allow,Tcp,396,396,*,*
in-test397,397,Inbound,Allow,Tcp,397,397,*,*
in-test398,398,Inbound,Allow,Tcp,398,398,*,*
in-test399,399,Inbound,Allow,Tcp,399,399,*,*
in-test400,400,Inbound,Allow,Tcp,400,400,*,*
in-test401,401,Inbound,Allow,Tcp,401,401,*,*
in-test402,402,Inbound,Allow,Tcp,402,402,*,*
in-test403,403,Inbound,Allow,Tcp,403,403,*,*
in-test404,404,Inbound,Allow,Tcp,404,404,*,*
in-test405,405,Inbound,Allow,Tcp,405,405,*,*
in-test406,406,Inbound,Allow,Tcp,406,406,*,*
in-test407,407,Inbound,Allow,Tcp,407,407,*,*
in-test408,408,Inbound,Allow,Tcp,408,408,*,*
in-test409,409,Inbound,Allow,Tcp,409,409,*,*
in-test410,410,Inbound,Allow,Tcp,410,410,*,*
in-test411,411,Inbound,Allow,Tcp,411,411,*,*
in-test412,412,Inbound,Allow,Tcp,412,412,*,*
in-test413,413,Inbound,Allow,Tcp,413,413,*,*
in-test414,414,Inbound,Allow,Tcp,414,414,*,*
in-test415,415,Inbound,Allow,Tcp,415,415,*,*
in-test416,416,Inbound,Allow,Tcp,416,416,*,*
in-test417,417,Inbound,Allow,Tcp,417,417,*,*
in-test418,418,Inbound,Allow,Tcp,418,418,*,*
in-test419,419,Inbound,Allow,Tcp,419,419,*,*
in-test420,420,Inbound,Allow,Tcp,420,420,*,*
in-test421,421,Inbound,Allow,Tcp,421,421,*,*
in-test422,422,Inbound,Allow,Tcp,422,422,*,*
in-test423,423,Inbound,Allow,Tcp,423,423,*,*
in-test424,424,Inbound,Allow,Tcp,424,424,*,*
in-test425,425,Inbound,Allow,Tcp,425,425,*,*
in-test426,426,Inbound,Allow,Tcp,426,426,*,*
in-test427,427,Inbound,Allow,Tcp,427,427,*,*
in-test428,428,Inbound,Allow,Tcp,428,428,*,*
in-test429,429,Inbound,Allow,Tcp,429,429,*,*
in-test430,430,Inbound,Allow,Tcp,430,430,*,*
in-test431,431,Inbound,Allow,Tcp,431,431,*,*
in-test432,432,Inbound,Allow,Tcp,432,432,*,*
in-test433,433,Inbound,Allow,Tcp,433,433,*,*
in-test434,434,Inbound,Allow,Tcp,434,434,*,*
in-test435,435,Inbound,Allow,Tcp,435,435,*,*
in-test436,436,Inbound,Allow,Tcp,436,436,*,*
in-test437,437,Inbound,Allow,Tcp,437,437,*,*
in-test438,438,Inbound,Allow,Tcp,438,438,*,*
in-test439,439,Inbound,Allow,Tcp,439,439,*,*
in-test440,440,Inbound,Allow,Tcp,440,440,*,*
in-test441,441,Inbound,Allow,Tcp,441,441,*,*
in-test442,442,Inbound,Allow,Tcp,442,442,*,*
in-test443,443,Inbound,Allow,Tcp,443,443,*,*
in-test444,444,Inbound,Allow,Tcp,444,444,*,*
in-test445,445,Inbound,Allow,Tcp,445,445,*,*
in-test446,446,Inbound,Allow,Tcp,446,446,*,*
in-test447,447,Inbound,Allow,Tcp,447,447,*,*
in-test448,448,Inbound,Allow,Tcp,448,448,*,*
in-test449,449,Inbound,Allow,Tcp,449,449,*,*
in-test450,450,Inbound,Allow,Tcp,450,450,*,*
in-test451,451,Inbound,Allow,Tcp,451,451,*,*
in-test452,452,Inbound,Allow,Tcp,452,452,*,*
in-test453,453,Inbound,Allow,Tcp,453,453,*,*
in-test454,454,Inbound,Allow,Tcp,454,454,*,*
in-test455,455,Inbound,Allow,Tcp,455,455,*,*
in-test456,456,Inbound,Allow,Tcp,456,456,*,*
in-test457,457,Inbound,Allow,Tcp,457,457,*,*
in-test458,458,Inbound,Allow,Tcp,458,458,*,*
in-test459,459,Inbound,Allow,Tcp,459,459,*,*
in-test460,460,Inbound,Allow,Tcp,460,460,*,*
in-test461,461,Inbound,Allow,Tcp,461,461,*,*
in-test462,462,Inbound,Allow,Tcp,462,462,*,*
in-test463,463,Inbound,Allow,Tcp,463,463,*,*
in-test464,464,Inbound,Allow,Tcp,464,464,*,*
in-test465,465,Inbound,Allow,Tcp,465,465,*,*
in-test466,466,Inbound,Allow,Tcp,466,466,*,*
in-test467,467,Inbound,Allow,Tcp,467,467,*,*
in-test468,468,Inbound,Allow,Tcp,468,468,*,*
in-test469,469,Inbound,Allow,Tcp,469,469,*,*
in-test470,470,Inbound,Allow,Tcp,470,470,*,*
in-test471,471,Inbound,Allow,Tcp,471,471,*,*
in-test472,472,Inbound,Allow,Tcp,472,472,*,*
in-test473,473,Inbound,Allow,Tcp,473,473,*,*
in-test474,474,Inbound,Allow,Tcp,474,474,*,*
in-test475,475,Inbound,Allow,Tcp,475,475,*,*
in-test476,476,Inbound,Allow,Tcp,476,476,*,*
in-test477,477,Inbound,Allow,Tcp,477,477,*,*
in-test478,478,Inbound,Allow,Tcp,478,478,*,*
in-test479,479,Inbound,Allow,Tcp,479,479,*,*
in-test480,480,Inbound,Allow,Tcp,480,480,*,*
in-test481,481,Inbound,Allow,Tcp,481,481,*,*
in-test482,482,Inbound,Allow,Tcp,482,482,*,*
in-test483,483,Inbound,Allow,Tcp,483,483,*,*
in-test484,484,Inbound,Allow,Tcp,484,484,*,*
in-test485,485,Inbound,Allow,Tcp,485,485,*,*
in-test486,486,Inbound,Allow,Tcp,486,486,*,*
in-test487,487,Inbound,Allow,Tcp,487,487,*,*
in-test488,488,Inbound,Allow,Tcp,488,488,*,*
in-test489,489,Inbound,Allow,Tcp,489,489,*,*
in-test490,490,Inbound,Allow,Tcp,490,490,*,*
in-test491,491,Inbound,Allow,Tcp,491,491,*,*
in-test492,492,Inbound,Allow,Tcp,492,492,*,*
in-test493,493,Inbound,Allow,Tcp,493,493,*,*
in-test494,494,Inbound,Allow,Tcp,494,494,*,*
in-test495,495,Inbound,Allow,Tcp,495,495,*,*
in-test496,496,Inbound,Allow,Tcp,496,496,*,*
in-test497,497,Inbound,Allow,Tcp,497,497,*,*
in-test498,498,Inbound,Allow,Tcp,498,498,*,*
in-test499,499,Inbound,Allow,Tcp,499,499,*,*
in-test500,500,Inbound,Allow,Tcp,500,500,*,*
in-test501,501,Inbound,Allow,Tcp,501,501,*,*
in-test502,502,Inbound,Allow,Tcp,502,502,*,*
in-test503,503,Inbound,Allow,Tcp,503,503,*,*
in-test504,504,Inbound,Allow,Tcp,504,504,*,*
in-test505,505,Inbound,Allow,Tcp,505,505,*,*
in-test506,506,Inbound,Allow,Tcp,506,506,*,*
in-test507,507,Inbound,Allow,Tcp,507,507,*,*
in-test508,508,Inbound,Allow,Tcp,508,508,*,*
in-test509,509,Inbound,Allow,Tcp,509,509,*,*
in-test510,510,Inbound,Allow,Tcp,510,510,*,*
in-test511,511,Inbound,Allow,Tcp,511,511,*,*
in-test512,512,Inbound,Allow,Tcp,512,512,*,*
in-test513,513,Inbound,Allow,Tcp,513,513,*,*
in-test514,514,Inbound,Allow,Tcp,514,514,*,*
in-test515,515,Inbound,Allow,Tcp,515,515,*,*
in-test516,516,Inbound,Allow,Tcp,516,516,*,*
in-test517,517,Inbound,Allow,Tcp,517,517,*,*
in-test518,518,Inbound,Allow,Tcp,518,518,*,*
in-test519,519,Inbound,Allow,Tcp,519,519,*,*
in-test520,520,Inbound,Allow,Tcp,520,520,*,*
in-test521,521,Inbound,Allow,Tcp,521,521,*,*
in-test522,522,Inbound,Allow,Tcp,522,522,*,*
in-test523,523,Inbound,Allow,Tcp,523,523,*,*
in-test524,524,Inbound,Allow,Tcp,524,524,*,*
in-test525,525,Inbound,Allow,Tcp,525,525,*,*
in-test526,526,Inbound,Allow,Tcp,526,526,*,*
in-test527,527,Inbound,Allow,Tcp,527,527,*,*
in-test528,528,Inbound,Allow,Tcp,528,528,*,*
in-test529,529,Inbound,Allow,Tcp,529,529,*,*
in-test530,530,Inbound,Allow,Tcp,530,530,*,*
in-test531,531,Inbound,Allow,Tcp,531,531,*,*
in-test532,532,Inbound,Allow,Tcp,532,532,*,*
in-test533,533,Inbound,Allow,Tcp,533,533,*,*
in-test534,534,Inbound,Allow,Tcp,534,534,*,*
in-test535,535,Inbound,Allow,Tcp,535,535,*,*
in-test536,536,Inbound,Allow,Tcp,536,536,*,*
in-test537,537,Inbound,Allow,Tcp,537,537,*,*
in-test538,538,Inbound,Allow,Tcp,538,538,*,*
in-test539,539,Inbound,Allow,Tcp,539,539,*,*
in-test540,540,Inbound,Allow,Tcp,540,540,*,*
in-test541,541,Inbound,Allow,Tcp,541,541,*,*
in-test542,542,Inbound,Allow,Tcp,542,542,*,*
in-test543,543,Inbound,Allow,Tcp,543,543,*,*
in-test544,544,Inbound,Allow,Tcp,544,544,*,*
in-test545,545,Inbound,Allow,Tcp,545,545,*,*
in-test546,546,Inbound,Allow,Tcp,546,546,*,*
in-test547,547,Inbound,Allow,Tcp,547,547,*,*
in-test548,548,Inbound,Allow,Tcp,548,548,*,*
in-test549,549,Inbound,Allow,Tcp,549,549,*,*
in-test550,550,Inbound,Allow,Tcp,550,550,*,*
in-test551,551,Inbound,Allow,Tcp,551,551,*,*
in-test552,552,Inbound,Allow,Tcp,552,552,*,*
in-test553,553,Inbound,Allow,Tcp,553,553,*,*
in-test554,554,Inbound,Allow,Tcp,554,554,*,*
in-test555,555,Inbound,Allow,Tcp,555,555,*,*
in-test556,556,Inbound,Allow,Tcp,556,556,*,*
in-test557,557,Inbound,Allow,Tcp,557,557,*,*
in-test558,558,Inbound,Allow,Tcp,558,558,*,*
in-test559,559,Inbound,Allow,Tcp,559,559,*,*
in-test560,560,Inbound,Allow,Tcp,560,560,*,*
in-test561,561,Inbound,Allow,Tcp,561,561,*,*
in-test562,562,Inbound,Allow,Tcp,562,562,*,*
in-test563,563,Inbound,Allow,Tcp,563,563,*,*
in-test564,564,Inbound,Allow,Tcp,564,564,*,*
in-test565,565,Inbound,Allow,Tcp,565,565,*,*
in-test566,566,Inbound,Allow,Tcp,566,566,*,*
in-test567,567,Inbound,Allow,Tcp,567,567,*,*
in-test568,568,Inbound,Allow,Tcp,568,568,*,*
in-test569,569,Inbound,Allow,Tcp,569,569,*,*
in-test570,570,Inbound,Allow,Tcp,570,570,*,*
in-test571,571,Inbound,Allow,Tcp,571,571,*,*
in-test572,572,Inbound,Allow,Tcp,572,572,*,*
in-test573,573,Inbound,Allow,Tcp,573,573,*,*
in-test574,574,Inbound,Allow,Tcp,574,574,*,*
in-test575,575,Inbound,Allow,Tcp,575,575,*,*
in-test576,576,Inbound,Allow,Tcp,576,576,*,*
in-test577,577,Inbound,Allow,Tcp,577,577,*,*
in-test578,578,Inbound,Allow,Tcp,578,578,*,*
in-test579,579,Inbound,Allow,Tcp,579,579,*,*
